Text
"Ranking 4th IBO 1993   Practical Part   Theoretical Part   Overall  
     I II III IV  V Total  B A Total  Pr+201*Th/187  
   Maximum  40 41 45 39 36 201 63 124 187 402 
   Mean  20 17 11 25 23  97 36  79 115 221  
1 Anna  Bown  Australia  24 29 21 33 32 139 43  98 141 290 Gold  
2 Stanislav  Lhota  Czech  29 13 27 34 27 130 47  93 140 280 
3  Liu Yue-Yi China  21 18 28 26 21 114 45 107 152 277 
4  Karol  Kaminski  Poland  25 19 10 31 26 111 51 103 154 276 
5 Emil  Karaulanov  Bulgaria  21 26  9 39 27 122 52  92 144 276 
6 Steph an Houben  Netherlands  36 22  6 33 27 124 46  94 140 274 
7 Xu Xing  China  21 24 17 25 25 112 47  97 144 267 Silver  
8  Toby  Handfield  Australia  16 36 19 26 22 119 39  46 135 264 
9  Amanda  Henry  Australia  17 26 12 30 27 112 46  94 140 262 
10 Elena  Knatno  Belorussia  17 16 28 31 31 123 41  88 129 262 
11 Sander  Nijdam  Netherlands  31 37 12 29 28 137 40  76 116 262 
12 Cagan Hakki  Sekercioglu  Turkey  22 27 14 21 28 112 47  91 138 260 
13 Lenka  Kratzerova  Czech  31 27 19 24 28 129 43  78 121 259 
14 Ou Gang  Xiao -Guang  China  19 14 18 27 25 103 52  92 144 258 
15 Gao Lu China  19 26 13 26 23 107 45  94 139 256 
16 Katja  Wurzinger  Germany  19 28 18 37 30 132 36  77 113 253 
17 Axel  Niebisch  Germany  20 21 11 33 33 118 44  81 125 252 
18 Grzegorz  Nalepa  Poland  11 19 20 31 22 103 46  93 139 252 
19 Szymon  Gomulka  Poland  25 20  4 24 22  95 47  99 146 251 
20 Pavel  Hulva  Czech  27 13 22 27 27 116 43  76 119 243 Bronze  
21 Johan  Ahlen  Sweden  35 28  7 29 26 125 34  76 110 243 
22 Can Kerem  Erdonmez  Turkey  30 14  9 21 24  98 39  95 134 241 
23 Chris  Bakker  Netherlands  22 24 11 31 27 115 38  80 118 241 
24 Saranya  Chumsri  Thailand  28 16 12 21 21  98 45  84 129 236 
25 Radoslaw  Tomalski  Poland  21 11  5 23 25  85 51  88 139 234 
26 Johan  Jonemo  Sweden  20 23  4 35 23 105 34  81 115 229 
27 Choladda  Vejabhuti  Thailand  19  4  8 31 22  84 40  94 134 228 
28 Edith  Raats  Netherlands  21 13 11 28 31 104 35  76 111 223 
29 Warit  Utanwutipong  Thailand  35  1 17 13 16  82 39  90 129 221 
30 Amanda  Shaw  Australia  21 21  2 31 29 104 32  75 107 219 
31 Inci Asli  Sonat  Turkey  21 18 16 21 21  97 36  78 114 219 
32 Ralf Kittler  Germany  32 12  9 21 29 103 32  73 105 216 
33 Ivana  Kotorova  Czech  22 14 28 18 21 103 41  63 104 215 
34 Sven -Erik Bartfay  Sweden  19 14  7 28 22  90 37  79 116 214 
35 Boris  Shtonda  Ukraine   6 13 24 30 24  97 23  85 108 213 
36 Rachmatullin  Ramil  Russia  23 22 11 27 22 104 31  68  99 212 
37 Hikmet  Koseoglu  Turkey  16 17 17 27 18  95 40  69 109 212 
38 Magnus  Edvardsson  Sweden  30 18  4 20 26  98 33  71 104 210 
39 Maneeratana  Nuntarukchaikul  Thailand  17 22  6 18 21  84 40  74 114 207 Honourable  
40 Nico  Boon  Belgium  18 23 12 25 28 106 29  64  93 205 mention  
41 Tanja  Scheler  Germany  24 19 14 30 22 109 32  57  89 205 
42 Ivor Svetlansky  Slovakia  29 11  7 33 27 107 33  54  87 201 
43 Dimitro  Kovtun  Ukraine  22 20  9 17 25  93 29  72 101 201 
44 Elena  Truchatchova  Belorussia  22 15  1 28 12  78 33  80 113 199 
45 Dejan  Jordanov  Bulgaria  12 22  7 22 30  93 26  72  98 198 
46 Nataliaq  Slokasova  Russia  20 17  5 18 26  86 29  72 101 194 
47 Andrea  Jankacka  Slovakia  20 16 14 27 23 100 28  56  84 190 
48 Lucia  Kilarska  Slovakia  35 15  9 17 28 104 25  54  79 188 
49 Eva Smets  Belgium  16  7  5 29 24  81 32  64  96 184 
50 Miroslav  Hric Slovakia  23 13  7 28 22  93 26  58  84 183 
51 Michail  Kaganski  Russia   3 26 11 18  5  63 28  74 102 173 
52 Yevgen  Savrasov  Ukraine  17 13  2 27 17  76 15  71  86 168"
"53 Elena  Kutzmina  Belorussia   6 14  7 12 21  60 13  85  98 165 
54 Petar  Shouroulinkov  Bulgaria  13 13  0 17 21  64 16  70  86 156 
55 Xavier  de Keulenaar  Belgium   8 10  4 23 24  81 29  61  90 155 
56 Miroslav  Rosul  Ukraine  15 12  6 11 26  70 23  52  75 151 
57 Dmitri  Petrikovich  Belorussia  13  6  1  0 18  38 30  72 102 148 
58 Madjid  Mansouri  Belgium   4 11  0 20 18  53 23  60  83 142 
59 Tania  Teneva  Bulgaria   5  6  0 13 19  43 17  75  92 141 
60 Elena  Kvasjnina  Russia   6  7  0  6 14  33 30  69  99 139"
