124 AUSTRALIA LOO Christopher 26,105 25 26,01 32,8 109,9143897 60 55,5 115,5 70,29043103 39 SILVER
503 SLOVAKIA LABIK Michal 31,675 33 19,91 22,7 107,2811033 58 59,3 117,3 70,09249964 40 SILVER
473 ROMANIA ANGHEL Stefan 24,42 28 15,73 30,9 99,04769953 69 55,75 124,75 70,06648407 41 SILVER
571 THAILAND KULALERT Kanokwan 29,9 26 22,35 23,95 102,1974178 63 58,85 121,85 70,06017519 42 SILVER
564 THE NETHERLAND SVAN DER VLIET Jord 25,61 30 33,52 20,8 109,9311268 54 60,45 114,45 69,95375922 43 SILVER
193 CANADA BAGLEY Megan 29,115 29 26,10 16,2 100,4182864 60 62,9 122,9 69,87238833 44 SILVER
313 IRAN SHAKERI Aria 26,02 19 15,07 31,1 91,19042254 70 60,9 130,9 69,72939912 45 SILVER
461 POLAND UZAR Magdalena 25,415 28 33,62 21,75 108,7800235 59 55,15 114,15 69,51359542 46 SILVER
141 BELARUS KARPIEVICH Maryia 29,61 25 22,63 22,7 99,93910798 64 57 121 69,11156466 47 SILVER
494 SINGAPORE TAY Rong En 33,9 30 16,24 22,95 103,0941315 58 59,7 117,7 68,97668118 48 SILVER
623 USA HE Meng Xiao 33,47 22 33,52 16,2 105,1911268 57 58,55 115,55 68,90113728 49 SILVER
292 INDIA NARULA Divam 30,61 18 26,48 24,2 99,28887324 66 53,45 119,45 68,41372169 50 SILVER
232 CZECH REPUBLIC ICHA Jaroslav 36,44 25 21,69 21,9 105,0301408 61 53,1 114,1 68,38142479 51 SILVER
533 SWEDEN SUN Lei 24,685 20 36,90 31,4 112,9864085 54 52,55 106,55 68,29243102 52 SILVER
582 TURKEY ERGÜN Ecem Zeliha 26,7 20 17,42 28,55 92,66784038 65 59,05 124,05 67,94017788 53 SILVER
314 IRAN PAYDARI Kosha 27,72 23 26,34 13,1 90,15802817 68 56,45 124,45 67,32345367 54 SILVER
342 KAZAKHSTAN MUKASHEV Maxim 25,27 26 25,16 19,95 96,38431925 59 58,05 117,05 66,76845573 55 SILVER
311 IRAN FATTAHI Seyedeh 33,23 17 22,82 18,6 91,64690141 62 58,9 120,9 66,61140631 56 SILVER
194 CANADA YAU Yick Lam 25,815 28 32,96 16,2 102,9727465 56 54,05 110,05 66,45137669 57 SILVER
273 GERMANY PÜTZ Monika 32,6 24 19,44 20,25 96,28661972 59 56,95 115,95 66,38146036 58 SILVER
293 INDIA PARAKH Smita 28,035 19 24,51 27,05 98,59204225 58 55,7 113,7 66,33540253 59 SILVER
291 INDIA KHERA Rohan 30,82 5 23,19 24,3 83,31248826 67 60,05 127,05 66,13233374 60 SILVER
462 POLAND ZIEMNIAK Marcin 21,385 24 23,29 23,1 91,77138498 64 54,45 118,45 65,85126138 61 BRONZE
583 TURKEY BAŞAT Alp Buğra 32,695 27 8,92 22,7 91,31518779 66 52,7 118,7 65,79685067 62 BRONZE
633 VIETNAM LUU Thanh Thuy 21,415 17 31,74 14,1 84,2520892 67 58,1 125,1 65,77744557 63 BRONZE
312 IRAN HAFEZI NEJAD Nima 21,57 19 38,45 15,75 94,77070423 61 53,25 114,25 65,37719798 64 BRONZE
601 UKRAINE SHCHUKIN Jurii 21,955 36 17,75 23,2 98,90147887 57 52,4 109,4 65,02833736 65 BRONZE
302 INDONESIA UTOMO Prayudi 28,24 16 25,63 27,7 97,57380282 58 52,45 110,45 64,97489597 66 BRONZE
584 TURKEY TUNCER Gözde 24,95 18 21,88 31,1 95,92793427 60 51,4 111,4 64,79422756 67 BRONZE
474 ROMANIA BARBU Mariana 23,92 15 30,52 22,85 92,28643192 61 51,7 112,7 64,13357654 68 BRONZE
561 THE NETHERLAND SVERMEULEN Lucie 28,685 22 26,24 22,7 99,62913146 53 52,8 105,8 64,07349448 69 BRONZE
614 UNITED KINGDOM WILSON Crispian 25,08 30 26,85 18,2 100,1344601 49 56,05 105,05 63,97983422 70 BRONZE
434 NEW ZEALAND SHAND James 24,65 23 30,23 20,45 98,33474178 52 54,5 106,5 63,91607439 71 BRONZE
381 LATVIA PERMINOVS Dmitrijs 20,25 27 15,82 23,1 86,17159624 61 55,8 116,8 63,64797677 72 BRONZE
304 INDONESIA NUGROHO Arif Widi 18,85 21 26,10 28,3 94,25328638 56 52,9 108,9 63,48242246 73 BRONZE
271 GERMANY SCHOLL Jacqueline 23,955 24 17,56 16,1 81,61368545 63 57,35 120,35 63,44673061 74 BRONZE
233 CZECH REPUBLIC SUOBODA Jirí 23,22 27 25,07 18,2 93,49042254 57 52,15 109,15 63,33675295 75 BRONZE
484 RUSSIA NOVIKOVA Evgeniya 33,09 19 26,48 14,1 92,66887324 60 48,6 108,6 62,91331299 76 BRONZE"
"17th INTERNATIONAL BIOLOGY OLYMPIAD
ARGENTINA 200 6
                                 Final Results by Medals
ID COUNTRY LAST NAME FIRST NAME Prac1 Prac2 Prac3 Prac4 TOT PRAC Theo A Theo B TOTAL THEO cc-score cc-rank MEDAL
562 THE NETHERLAND SBAGGEN Jim 19,315 29 26,10 19,2 93,61828638 55 50,25 105,25 62,10580812 77 BRONZE
334 JAPAN HAMAZAKI Manatsu 27,56 14 22,91 32,7 97,17079812 55 46,75 101,75 62,02413375 78 BRONZE
631 VIETNAM PHAM Duy 25,71 19 10,99 27,2 82,89591549 58 56,7 114,7 61,98988478 79 BRONZE
603 UKRAINE BATYUK Mykhaylo 27,305 27 19,95 10 84,25805164 62 49,75 111,75 61,43535261 80 BRONZE
112 ARGENTINA ROSENVITZ Milena 21,925 30 26,57 13,2 91,69776995 59 45,05 104,05 61,14383503 81 BRONZE
192 CANADA LO Tseng-Yu 20,88 28 11,08 24,35 84,30981221 58 51,7 109,7 60,78371987 82 BRONZE
432 NEW ZEALAND JACKSON Karen 24,25 25 25,07 14,45 88,77042254 56 49,5 105,5 60,74451191 83 BRONZE
563 THE NETHERLAND SDOEKES Hilje 19,225 26 28,83 12,7 86,75129108 49 57,65 106,65 60,51784345 84 BRONZE
634 VIETNAM TRAN Thi Thu Thuy 30,53 18 15,77 16,3 80,60464789 56 55,9 111,9 60,39696912 85 BRONZE
471 ROMANIA MIRESCU Stefan 18,79 21 14,88 23,95 78,62262911 59 54,55 113,55 60,34403643 86 BRONZE
591 TURKMENISTAN YAGSHIMAMMEDOV Nazar 22,11 22 10,23 34,8 89,14474178 56 47,35 103,35 60,15632883 87 BRONZE
231 CZECH REPUBLIC FILA Jan 28,105 16 20,70 16,6 81,40922535 56 54,3 110,3 60,11578442 88 BRONZE
272 GERMANY EWALD Friederike 26,17 22 22,35 19,7 90,21741784 47 55,2 102,2 60,10134822 89 BRONZE
331 JAPAN SATO Hirofumi 27,445 22 30,80 14,3 94,54312207 48 49,1 97,1 59,7291495 90 BRONZE
151 BELGIUM ETOUNDI Émilie 17,325 29 30,33 31,2 107,8536385 43 41,2 84,2 59,49268861 91 BRONZE
382 LATVIA GRUDULS Arturs 17,905 27 22,25 25,6 92,75852113 52 45,6 97,6 59,36077419 92 BRONZE
262 FINLAND TURUNEN Topi 15,765 17 21,78 26,65 81,19903756 56 51,75 107,75 59,22350864 93 BRONZE
632 VIETNAM NGUYEN Quynh Giang 23,385 17 23,52 21,7 85,60612676 55 48,65 103,65 59,20091202 94 BRONZE
144 BELARUS LOS Volha 31,285 22 3,76 23,2 80,24086854 58 49,75 107,75 58,93837379 95 BRONZE
332 JAPAN KARIYAZONO Ryo 19,29 27 28,45 12,8 87,54070423 48 52,5 100,5 58,75165201 96 BRONZE
524 SPAIN BACH HARDIE José 18,195 26 31,17 6,5 81,86870892 52 53,5 105,5 58,69067901 97 BRONZE
114 ARGENTINA NARDIN David 37,935 18 15,68 12,2 83,81575117 57 46,5 103,5 58,61931912 98 BRONZE
113 ARGENTINA GIOIA Jonathan 21,695 25 6,57 27,2 80,46776995 56 49,75 105,75 58,35512917 99 BRONZE
401 MOLDOVA PODOBINSCHI Sveatoslav 25,54 11 23,10 16,1 75,73859155 57 53,05 110,05 58,34695416 100 BRONZE
482 RUSSIA KIM Margarita 29,935 32 4,98 22,45 89,36152582 51 45,65 96,65 58,04077186 101 BRONZE
451 PAKISTAN QAISRANI Muhammad 12,7 14 29,15 19,6 75,45492958 77 32,25 109,25 58,00223451 102 BRONZE
191 CANADA CHAKMA Justin 18,525 26 25,63 12,6 82,75880282 52 50,55 102,55 57,99567507 103 BRONZE
252 ESTONIA SOOMANN Maarja 17,24 14 29,48 19,55 80,27356808 55 49,8 104,8 57,98822383 104 BRONZE
343 KAZAKHSTAN UMBETALIN Aibek 27,375 20 8,26 20,7 76,3379108 59 49,15 108,15 57,9070731 105 BRONZE
604 UKRAINE KAMENSKA Anastasiya 21,77 21 15,77 12,85 71,39464789 62 50,65 112,65 57,90026684 106 BRONZE
393 MEXICO RODRIGUEZ David 25,21 26 15,68 19,25 86,14075117 54 44,85 98,85 57,79816726 107 BRONZE
154 BELGIUM VANDEN BUSSCHE Simon 27,98 24 19,91 12,7 84,58610329 55 45,05 100,05 57,7259904 108 BRONZE
341 KAZAKHSTAN SAILOV Talgat 27,933 22 10,61 16,35 76,89332864 55 51,65 106,65 57,58428105 109 BRONZE
294 INDIA SUBRAMANIAN Ajay 21,52 18 30,14 20,7 90,36084507 51 43,25 94,25 57,55723235 110 BRONZE
242 DENMARK MADSEN Christian 24,11 22 35,96 24,7 106,7724413 38 41,05 79,05 57,49521858 111 BRONZE
183 BULGARIA KOSTOVA Kamena 24,015 11 17,89 11 63,90232394 59 59,2 118,2 57,47655574 112 BRONZE
512 SLOVENIA SRAKA Anja 28,86 29 11,08 20,7 89,63981221 57 37,35 94,35 57,37520354 113 BRONZE
344 KAZAKHSTAN OBUKHOV Oleg 24,63 16 13,24 23,05 76,91943662 63 42,55 105,55 57,23412869 114 BRONZE"
"17th INTERNATIONAL BIOLOGY OLYMPIAD
ARGENTINA 200 6
                                 Final Results by Medals
ID COUNTRY LAST NAME FIRST NAME Prac1 Prac2 Prac3 Prac4 TOT PRAC Theo A Theo B TOTAL THEO cc-score cc-rank MEDAL
264 FINLAND TUOMINEN Henri 18,24 15 22,54 17,35 73,12521127 52 56,26 108,26 56,98682038 115 BRONZE
463 POLAND GLAZA Przemyslas 25,12 16 17,28 19,7 78,09699531 57 46,7 103,7 56,98259105 116 BRONZE
323 IRELAND MCGARVEY Michael 19,075 15 27,04 19,5 80,61725352 46 54,75 100,75 56,77269635 117 BRONZE
131 AZERBAIJAN NOVRUZOV Emil 24,3 20 11,17 17,1 72,57370892 60 47,95 107,95 56,72183381 118 BRONZE
391 MEXICO PONCE Gabriel 30,885 25 9,20 10,2 75,28687793 54 51,45 105,45 56,71576859 119 BRONZE
251 ESTONIA TOOM Eva 18,69 22 31,64 16,2 88,53319249 46 47,3 93,3 56,7042398 120 BRONZE
143 BELARUS SAPKO Tatsiana 23,305 15 8,73 15,75 62,78739437 61 54,95 115,95 56,41265914 121 BRONZE
321 IRELAND LAWRENCE Moyra 20,115 24 16,24 22,7 83,05913146 48 47,95 95,95 55,93751788 122
162 BRAZIL TAVARES Bruno 19,76 27 10,38 14,7 71,83558685 54 51,8 105,8 55,80260707 123
511 SLOVENIA ROMIH Tea 28,215 19 5,54 26,5 79,2549061 58 41 99 55,79786407 124
513 SLOVENIA BERNIK Jernej 28,875 23 3,66 23,8 79,33697183 58 40,6 98,6 55,69213211 125
592 TURKMENISTAN KURBANOV Suhrab 14,65 16 21,13 17,35 69,12676056 57 50,55 107,55 55,56592712 126
542 SWITZERLAND DAETWYLER Stephan 18,505 18 14,13 24,7 75,3364554 51 50,7 101,7 55,51033456 127
452 PAKISTAN MOHSIN Iram 16,69 15 11,17 21,85 64,71370892 60 51,2 111,2 55,44032692 128
541 SWITZERLAND AEBISCHER Thierry 27 23 23,29 18,85 92,13638498 45 40,6 85,6 55,27103722 129
392 MEXICO RAMOS Ivan 20,38 23 12,77 12,1 68,24995305 58 49,35 107,35 55,23992742 130
431 NEW ZEALAND FU Andrew 20,545 24 7,09 18,45 70,08420188 60 44,1 104,1 54,72827297 131
464 POLAND KABAT Agniozka 21,8 30 21,60 0 73,39624413 54 46,95 100,95 54,68892311 132
324 IRELAND CORRIGAN Mattew 21,61 13 26,57 15,2 76,38276995 49 48,35 97,35 54,40628259 133
132 AZERBAIJAN ISKANDAROV Murad 13,455 21 22,58 20,1 77,13715962 49 47,1 96,1 54,22404702 134
433 NEW ZEALAND QUEK Norman 18,225 17 24,60 18,35 78,17593897 46 48,2 94,2 53,91494183 135
244 DENMARK RøRTH Rasmus 17,74 22 30,23 21,2 91,17474178 44 38,3 82,3 53,91110357 136
153 BELGIUM MENU Jonathan 27,37 28 17,65 16,7 89,72258216 45 37,65 82,65 53,59284966 137
502 SLOVAKIA SABOL Peter 22,82 28 18,12 17 85,94206573 50 35,85 85,85 53,50905871 138
383 LATVIA KRESLINA Arita 21,315 25 10,23 20,6 77,14974178 54 39,4 93,4 53,3492563 139
234 CZECH REPUBLIC MIKAT Michael 18,905 25 7,98 13,1 64,98622066 55 48,95 103,95 53,16239274 140
254 ESTONIA TIITSAAR Kai 23,16 17 22,16 25,6 87,91962441 43 39,55 82,55 53,02378168 141
333 JAPAN TAKAHASHI Syohei 22,105 26 2,82 27,6 78,52190141 49 41,25 90,25 52,73263028 142
522 SPAIN TORRE PEREZ Ester 20,22 31 10,52 21,1 82,83643192 43 42,95 85,95 52,61741311 143
543 SWITZERLAND IMSENG Stefan 19,88 19 23,29 17,7 79,86638498 36 52,35 88,35 52,51449748 144
133 AZERBAIJAN JOMARDOV Rafail 23,13 26 5,63 16,7 71,46380282 55 40,85 95,85 52,45440644 145
152 BELGIUM PARMENTIER Éric 9,53 12 11,46 26,6 59,58539906 57 49,7 106,7 52,45000397 146
544 SWITZERLAND EGLI Fabian 15,985 20 21,64 19,2 76,82819249 44 43,45 87,45 51,31753794 147
253 ESTONIA SAAR Sirgi 15,37 21 24,13 12,6 73,1014554 41 46,95 87,95 50,37121586 148
163 BRAZIL MARTINEZ Saharoff 15,99 21 13,15 8,7 58,83553991 50 50,05 100,05 50,06305954 149
384 LATVIA BEZDELIGA Janis 20,51 23 8,73 14,7 66,94239437 46 45,9 91,9 49,82364788 150
263 FINLAND VANHATALO Anni 23,48 18 12,72 7,1 61,30300469 48 48,15 96,15 49,52834027 151
182 BULGARIA KUTSAROVA Elena 23,145 22 5,92 11,6 62,66049296 48 46,1 94,1 49,26526995 152"
"17th INTERNATIONAL BIOLOGY OLYMPIAD
ARGENTINA 200 6
                                 Final Results by Medals
ID COUNTRY LAST NAME FIRST NAME Prac1 Prac2 Prac3 Prac4 TOT PRAC Theo A Theo B TOTAL THEO cc-score cc-rank MEDAL
532 SWEDEN LANDBERG Patrik 17,635 25 19,53 12,1 74,26551643 42 39,05 81,05 48,47247579 153
504 SLOVAKIA BENCZE Michal 24,305 19 5,07 10 58,37542254 51 43,95 94,95 48,2666815 154
531 SWEDEN HANSEN Carl 19,675 21 14,60 20,85 76,12593897 41 36,8 77,8 47,9686102 155
261 FINLAND ASMALA Maria 26,595 20 11,55 10 68,14429577 33 49,95 82,95 47,26913266 156
164 BRAZIL DE OLIVEIRA Rafael 18,835 18 8,73 13,1 58,66739437 45 46,1 91,1 47,10084159 157
593 TURKMENISTAN SEYTMUHAMEDOV Kiyas 21,98 18 4,69 17,2 61,87483568 49 38,8 87,8 46,98155677 158
322 IRELAND TENNYSON Charlene 16,615 24 7,04 11,6 59,25725352 43 46,85 89,85 46,86964453 159
134 AZERBAIJAN IBRAHIMLI Toghrul 24,357 16 0,00 26,7 67,057 46 36,4 82,4 46,76661106 160
403 MOLDOVA CARPOV Dominica 25,885 14 9,67 18,7 68,2563615 48 32,85 80,85 46,61917655 161
284 GREECE PAPANTONIOU Efstratios 13,09 22 6,48 16,6 58,16887324 46 43 89 46,2691852 162
282 GREECE DIMITROGLOU Ioannis 15,805 12 16,53 12,2 56,5308216 47 41,95 88,95 45,76545965 163
161 BRAZIL GONÇALVES Felipe 10,06 11 5,35 10,2 36,61211268 55 48,55 103,55 44,58858619 164
181 BULGARIA DOBREV Nikolay 16,605 23 8,45 8 56,05570423 48 37,55 85,55 44,5177695 165
523 SPAIN VELARDE Amalia 16,99 30 1,69 13,2 61,88014085 37 41,7 78,7 44,02214731 166
221 CYPRUS SOTIRIOU Christina 15,02 17 20,23 10,1 62,35474178 45 31,45 76,45 43,43126804 167
534 SWEDEN WIKLUND Carl 18,61 14 18,36 12,6 63,56680751 37 38,3 75,3 43,41776742 168
402 MOLDOVA POPA Mariana 12,135 21 9,39 12,5 55,02467136 46 34,65 80,65 42,61657335 169
224 CYPRUS PASIAS Markos 14,28 15 25,73 10,1 65,10769953 36 33,8 69,8 42,0867025 170
281 GREECE KOUNDOURAKIS Antonios 16,04 22 9,11 16,1 63,24798122 39 31,85 70,85 41,87493436 171
521 SPAIN ALVAREZ Vanesa 12,67 20 0,47 7,6 40,73948357 45 45,1 90,1 41,44041614 172
243 DENMARK MADSEN Lotte Borg 17,06 14 15,31 6,6 52,96516432 43 35,35 78,35 41,25531736 173
223 CYPRUS IOANNIDES Giannis 17,8 15 12,86 10,6 56,26384977 48 27,2 75,2 41,21199275 174
453 PAKISTAN ASIF Annam 16,63 12 10,00 14,1 52,73 46 32,1 78,1 41,10399062 175
394 MEXICO RAMOS Gabriel 12,02 13 2,63 8,2 35,84910798 47 46,4 93,4 41,05888826 176
283 GREECE GAITANI Styliani 18,225 14 7,32 3,6 43,14894366 40 41 81 39,1964424 177
222 CYPRUS ARISTOKLEOUS Iliana 14,735 14 9,67 10,5 48,9063615 34 33,15 67,15 36,40319334 178
241 DENMARK JUSTESEN Angelica 11,8 18 22,07 12,6 64,4657277 27 22,1 49,1 35,16022791 179
361 KUWAIT ALASOUSSI Amal 19,5 11 9,67 15,3 55,4713615 29 27,91 56,91 35,02490081 180
443 NIGERIA OSONDU Chinekwu 10,655 20 9,11 0,5 40,26298122 36 29,05 65,05 33,14776502 181
363 KUWAIT ALJABER Shaikha 12,8 17 9,20 15,6 54,60187793 25 22,5 47,5 31,70430023 182
364 KUWAIT SANQUR Manar 14,06 18 5,45 3,2 40,70600939 33 24,2 57,2 30,72534365 183
362 KUWAIT ALKANDARI Norah 12,1 12 3,76 10,6 38,45586854 22 12,3 34,3 22,60446193 184
594 TURKMENISTAN YALKABOV Myrat 10,89 2 5,45 8,6 26,93600939 22 16,35 38,35 20,4941497 185"
