Text
"Ranking IBO 2001
GOLD MEDALS %
60 Fechner Peter Germany 66,43
61 Jansta Petr Czech rep. 66,23
62 Popovych Olena Ukraine 66,2
63 Pelser Maaike Netherlands 66,2
64 Wu Wei China 66,16
65 Bur Stephanie Germany 65,73
66 Meisgen Florian Germany 65,57
67 Custo Greig Luciano Argentina 65,3
68 Sergin Ismail Turkey 65,04
69 Lee Min-Zhao Australia 65,03
70 Yerokhin Maxim Kazakhstan 64,79
71 Saarnio Jussi Finland 64,76
72 Icheva Vanya Bulgaria 64,57
73 Babitski Miroslav Belarus 64,41
74 Akkaya Münir Turkey 64,39
75 Sedman Laura Estonia 64,18
76 Chan Kenneth Australia 64,18
77 de Groot Reinoud Netherlands 64,06
78 Droppa Michal Slovakia 63,97
79 Castillejos Armando Mexico 63,69
80 Burkaliova Daryna Ukraine 62,81
81 Terzi Nihal Turkey 62,41
82 Eriksson Rickard Sweden 62,33
83 Kadlec Tomas Slovakia 62,11
84 Thornton Simon United Kingdom 61,83
85 Bekakhmetov Gabit Kazakhstan 61,68
86 Benito Dario Argentina 61,32
87 Jappr Ignasius Aditya Indonesia 61,19
88 Howie Jennifer United Kingdom 60,59
89 Baldi Andrew Australia 60,43
90 Nguyen Kim Nu Thao Vietnam 60,28
91 Baltkalne Martina Latvia 60,21
92 Mierzynska Joanna Poland 60,03
93 Siyayev Dastanbek Kyrgyzstan 59,34
94 Padioukova Tatiana Sweden 59,33
95 Dagdas Yasin Fatih Turkey 58,17OTHER PARTICIPANTS"
"96 Niculescu Dragos Romania 57,96
97 Doyle Tomas Ireland 57,95
98 Pizica Baiba Latvia 57,83
99 de Jong Johan Netherlands 57,71
100 Sibuea Meirosa Indonesia 57,44
101 Florea Florina Romania 57,33
102 Zabala Morales Cintia Argentina 57,32
103 Rahmanov Amangeldi Turkmenistan 56,96
104O’Brien Mark Ireland 56,82
105 Kubesova Magdalena Czech rep. 56,35
106 Joachimsson Carl-Olof Sweden 55,94
107 Roddy Karen Ireland 54,72
108 Liiv Ingrid Estonia 54,49
109 Amanidinova Gulnaz Kyrgyzstan 54,09
110 Kerekes Arpad Slovakia 53,46
111 Cavadov Orhan Azerbaidjan 53,23
112 Wittocx Johan Belgium 52,58
113 Martin Turjak Slovenia 52,26
114 Nurili Fuad Azerbaijan 51,75
115 Yunus Junaedy Indonesia 51,7
116 Vysna Veronika Slovakia 51,6
117 Leppämäki Mika Finland 51,23
118 Monoshev Rasul Kyrgyzstan 50,84
119 Dzhendov Todor Bulgaria 49,58
120 Kambarov Yerkebulan Kazakhstan 49,31
121 Muhammet Nazarov Ihlas Turkmenistan 49,12
122 Peter Knaflic Slovenia 49,11
123 Preem Jens-Konrad Estonia 48,95
124 Maddens Bert Belgium 48,86
125 Green Judith Ireland 48,85
126 Somleva Desislava Bulgaria 47,97
127 Gaskov Mikk Estonia 47,72
128 Simeonova Marina Switzerland 45,63
129Mas’ngud Mochamad Indonesia 45,35
130 Lauters Pascaline Belgium 44,75
131 Schueep Christof Switzerland 44,24
132 Kormann Urs Switzerland 43,73
133 Silva Tinoco Ruben Mexico 43,51
134 Blaz Gindiciosi Slovenia 43,36
135 Olofsson Gabriel Sweden 42,85
136 Enkhjargal Damsinsuren Mongolia 42,27
137 Alfeeli Mohammad Kuwait 42,12
138 Ruzicka Nicolas Belgium 41,86
139 Ayala Orozco Ciceron Mexico 40,35
140 Cevadzade Tural Azerbaijan 39,02
141 Velazquez Valadez Ulises Mexico 38,98
142 Chinbayar Bat-Ochir Mongolia 38,78
143 Jana Podojstersek Slovenia 38,53
144 Hasan Yaser Kuwait 38,53
145 Memmedov Resat Azerbaijan 37,97"
"146 Lienhard Daniel Switzerland 37,64
147 Hocageldiyev Dayanch Turkmenistan 35,04
148 Boland Hajar Kuwait 31,91
149 Norov Davaasuren Mongolia 29,8
150 Bukalif Fatma Kuwait 25,78
151 Bolortuya Ulziibat Mongolia 25,67"
